"","country","games","iso_a3","population","medal_type","medal_winner","medal_total","medals_1","medals_2","medals_3","medals_4","medals_5","medals_1.team","rank_total","p_mean","p_median","p_credlow","p_credhigh","rank_mean","rank_median","rank_credlow","rank_credhigh","rank_mean_beta","rank_median_beta","observed_mpm","estimate_mpm","estimate_mpm_credlow","estimate_mpm_credhigh","rank_pc"
"1","Afghanistan","paris-2024","AFG",42647000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,1,1.03098240469849e-08,5.3084510567164e-09,1.09439829928988e-09,4.73719167840796e-08,NA,NA,NA,NA,NA,NA,0,0.0053084510567164,0.00109439829928988,0.0473719167840796,91
"2","American Samoa","paris-2024","ASM",47000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,2,3.20101865784193e-07,7.01312168444335e-08,1.29580554726498e-09,2.20531664491267e-06,NA,NA,NA,NA,NA,NA,0,0.0701312168444335,0.00129580554726498,2.20531664491267,92
"3","Andorra","paris-2024","AND",82000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,3,3.07848239012836e-07,6.32667382568831e-08,1.29677200005679e-09,2.06457662334491e-06,NA,NA,NA,NA,NA,NA,0,0.0632667382568831,0.00129677200005679,2.06457662334491,93
"4","Angola","paris-2024","AGO",37886000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,4,1.10809788882626e-08,5.57249455021078e-09,1.08704383868225e-09,5.20904537479821e-08,NA,NA,NA,NA,NA,NA,0,0.00557249455021078,0.00108704383868225,0.0520904537479821,94
"5","Antigua and Barbuda","paris-2024","ATG",94000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,5,2.97645639890287e-07,6.23585176591716e-08,1.29651074256388e-09,1.97458340942097e-06,NA,NA,NA,NA,NA,NA,0,0.0623585176591716,0.00129651074256388,1.97458340942097,95
"6","Aruba","paris-2024","ABW",108000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,6,2.9540947044999e-07,6.13979031539076e-08,1.30705052370954e-09,1.9311523684693e-06,NA,NA,NA,NA,NA,NA,0,0.0613979031539076,0.00130705052370954,1.9311523684693,96
"7","Bahamas","paris-2024","BHS",401000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,7,2.1320109536825e-07,4.85585888256095e-08,1.33270114974331e-09,1.37692049744887e-06,NA,NA,NA,NA,NA,NA,0,0.0485585888256095,0.00133270114974331,1.37692049744887,97
"8","Bangladesh","paris-2024","BGD",173562000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,8,3.90624218725095e-09,2.62345205657635e-09,1.04561791138469e-09,1.44555507527221e-08,NA,NA,NA,NA,NA,NA,0,0.00262345205657635,0.00104561791138469,0.0144555507527221,98
"9","Barbados","paris-2024","BRB",282000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,9,2.43140609120735e-07,5.73239851799095e-08,1.2808198584296e-09,1.58628797122655e-06,NA,NA,NA,NA,NA,NA,0,0.0573239851799095,0.0012808198584296,1.58628797122655,99
"10","Belize","paris-2024","BLZ",417000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,10,2.17556718727489e-07,4.99236871629931e-08,1.27624146370201e-09,1.45167690422577e-06,NA,NA,NA,NA,NA,NA,0,0.0499236871629931,0.00127624146370201,1.45167690422577,100
